Speaker,Word,Frequency,Debate
KASICH,hugh,2,12_republican_debate.txt
KASICH,would,4,12_republican_debate.txt
KASICH,live,2,12_republican_debate.txt
KASICH,education,4,12_republican_debate.txt
KASICH,continue,1,12_republican_debate.txt
KASICH,dig,1,12_republican_debate.txt
KASICH,billion,2,12_republican_debate.txt
KASICH,conservative,2,12_republican_debate.txt
KASICH,fighters,1,12_republican_debate.txt
KASICH,united,5,12_republican_debate.txt
KASICH,valiantly,1,12_republican_debate.txt
KASICH,wage,1,12_republican_debate.txt
KASICH,wages,2,12_republican_debate.txt
KASICH,everybody,2,12_republican_debate.txt
KASICH,steel,1,12_republican_debate.txt
KASICH,muslim,1,12_republican_debate.txt
KASICH,international,1,12_republican_debate.txt
KASICH,take,11,12_republican_debate.txt
KASICH,dealing,1,12_republican_debate.txt
KASICH,domenici,1,12_republican_debate.txt
KASICH,defensive,1,12_republican_debate.txt
KASICH,thirdly,1,12_republican_debate.txt
KASICH,enemies,2,12_republican_debate.txt
KASICH,contribute,2,12_republican_debate.txt
KASICH,speaks,1,12_republican_debate.txt
KASICH,blow,2,12_republican_debate.txt
KASICH,shock,1,12_republican_debate.txt
KASICH,line,1,12_republican_debate.txt
KASICH,nation,1,12_republican_debate.txt
KASICH,convention,1,12_republican_debate.txt
KASICH,walked,2,12_republican_debate.txt
KASICH,better,3,12_republican_debate.txt
KASICH,member,1,12_republican_debate.txt
KASICH,watch,1,12_republican_debate.txt
KASICH,means,2,12_republican_debate.txt
KASICH,process,2,12_republican_debate.txt
KASICH,lad,1,12_republican_debate.txt
KASICH,nixon,1,12_republican_debate.txt
KASICH,statue,1,12_republican_debate.txt
KASICH,enough,1,12_republican_debate.txt
KASICH,hopeful,2,12_republican_debate.txt
KASICH,simple,1,12_republican_debate.txt
KASICH,basis,2,12_republican_debate.txt
KASICH,lock,1,12_republican_debate.txt
KASICH,region,1,12_republican_debate.txt
KASICH,probably,1,12_republican_debate.txt
KASICH,chairman,1,12_republican_debate.txt
KASICH,next,1,12_republican_debate.txt
KASICH,figure,1,12_republican_debate.txt
KASICH,information,1,12_republican_debate.txt
KASICH,plan,2,12_republican_debate.txt
KASICH,efficiency,1,12_republican_debate.txt
KASICH,east,1,12_republican_debate.txt
KASICH,public,1,12_republican_debate.txt
KASICH,yes,1,12_republican_debate.txt
KASICH,help,1,12_republican_debate.txt
KASICH,check,1,12_republican_debate.txt
KASICH,guy,2,12_republican_debate.txt
KASICH,gas,1,12_republican_debate.txt
KASICH,break,1,12_republican_debate.txt
